id,scientific name,english name,hindi name,family,tree_class
1,Acacia farnesiana,Mimosa bush,Guh babool,Leguminosae,Wild tree
2,Acacia horrida,Robber Thorn,NA,Leguminosae,Wild tree
3,Acacia melanoxylon,Australian Blackwood,NA,Leguminosae,Ornamental tree
4,Acacia nilotica,Gum Arabic,Babool,Leguminosae,Wild tree
5,Acacia planifrons,Umbrella thorn,NA,Leguminosae,Wild tree
6,Acacia polyacantha,White Thorn,NA,Leguminosae,Wild tree
7,Acacia auriculiformis,Earleaf Acacia,Austrailian Babhul,Leguminosae,Avenue tree
8,Acacia catechu,Catechu,Dantadhavan,Leguminosae,Medicinal tree
9,Acacia ferruginea,Rusty Acacia,Safed khair,Leguminosae,Medicinal tree
10,Acacia leucophloea,White Bark Acacia,Safed kikkar,Leguminosae,Wild tree
11,Acacia mangium,Black Wattle,Sabah salwood,Leguminosae,Avenue tree
13,Acacia senegal,Gum Acacia,Kumttha,Leguminosae,Medicinal tree
14,Acrocarpus fraxinifolius,Pink Cedar,Mandhani,Leguminosae,Avenue tree
15,Adansonia digitata,Baobab,Gorakh imli,Malvaceae,Ornamental tree
16,Adenanthera pavonina,Red bead tree,Ratangunj,Leguminosae,Avenue tree
17,Aegle marmelos,Wood apple,Maredu,Rutaceae,Fruiting tree
18,Aesculus assamica,East Himalayan Horse Chestnut,NA,Sapindaceae,Ornamental tree
19,Afrocarpus gracilior,Fern Pine,Fern Pine,Podocarpaceae,Ornamental tree
20,Agathis robusta,Kauri Pine,NA,Araucariaceae,Ornamental tree
21,Ailanthus triphysa,NA,NA,Simaroubaceae,Avenue tree
22,Ailanthus excelsa,Indian Tree of Heaven,Mahrukh,Simaroubaceae,Wild tree
23,Alangium salviifolium,Sage Leaved Alangium,Ankol,Cornaceae,Avenue tree
24,Albizia lucidior,Potka Siris,Potka Siris,Leguminosae,Avenue tree
25,Albizia chinensis,Chinese Albizia,Kala Siris,Leguminosae,Ornamental tree
26,Albizia lebbeck,Siris Tree,Saras,Leguminosae,Avenue tree
27,Albizia procera,White siris,Safed siris,Leguminosae,Avenue tree
28,Albizia richardiana,NA,NA,Leguminosae,Ornamental tree
29,Albizia saman,Rain tree,Gulabi Siris,Leguminosae,Avenue tree
30,Alstonia macrophylla,Batino,NA,Apocynaceae,Avenue tree
31,Alstonia scholaris,Scholars Tree,Satvin,Apocynaceae,Avenue tree
32,Amherstia nobilis,Pride of Burma,NA,Leguminosae,Ornamental tree
33,Anacardium occidentale,Cashew,Kaju,Anacardiaceae,Fruiting tree
34,Annona glabra,Pond apple,Kattatha,Annonaceae,Medicinal tree
35,Annona muricata,Soursop,Mamphal,Annonaceae,Fruiting tree
36,Annona reticulata,Netted Custard Apple,Ramphal,Annonaceae,Fruiting tree
37,Annona squamosa,Custard apple,Sitaphal,Annonaceae,Fruiting tree
38,Anogeissus acuminata,Buttontree,Dhaura,Combretaceae,Wild tree
39,Anogeissus sericea,Roundleaf Axlewood,Indrarunkh,Combretaceae,Wild tree
40,Anogeissus latifolia,Axle Wood Tree,Dhavda,Combretaceae,Wild tree
41,Aphanamixis polystachya,Rohituka Tree,Harinkhana,Meliaceae,Avenue tree
42,Araucaria bidwillii,Bunya Pine,NA,Araucariaceae,Ornamental tree
43,Araucaria columnaris,Christmas Tree,NA,Araucariaceae,Ornamental tree
44,Araucaria cunninghamii,Hoop Pine,NA,Araucariaceae,Ornamental tree
45,Araucaria hunsteinii,Klinki Pine,NA,Araucariaceae,Ornamental tree
46,Areca catechu,Betel Palm,Supari,Arecaceae,Palms
47,Arenga wightii,Wight's Sago Palm,NA,Arecaceae,Palms
48,Artocarpus heterophyllus,Jackfruit tree,Katahal,Moraceae,Fruiting tree
49,Artocarpus lacucha,Monkey Jack,Lakooch,Moraceae,Fruiting tree
